Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Music & Audio,3.8,1000,24,3,1540,31,6,3,2,0,2,16,11365,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0,0,51.11111111
2,Puzzle,3.8,1000,322,6,29517,433,211,88,0,2,2,7,32698,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Personalization,3.9,10000,6,3,285,1008,217,60,0,0,3,2,25721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Productivity,4.5,10000,1206,6,128007,1962,996,360,6,3,2,20,19142,1,0,0,1,0,0,0,0,0,0,2,8,0,1,0,6,0,0,0,0,51.11111111
2,Books & Reference,3.8,1000,270,3,27068,392,141,56,4,1,4,3,6522,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,0,51.11111111
2,Education,3.7,1000,4468,9,560451,9266,6301,1211,3,3,4,0,49601,0,1,1,1,0,0,0,0,0,0,4,4,1,1,1,7,0,0,1,0,92
2,Communication,4.1,1000,1002,3116,120072,1855,764,295,10,0,11,5,23306,1,0,1,1,0,0,0,0,0,0,11,10,2,1,3,21,0,1,1,2,50
2,Weather,4.1,10000,2890,12,344430,5549,3834,741,1,3,2,0,137660,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,4,0,0,0,2,100
2,Transportation,4.7,1000,22,3,2058,28,3,1,6,2,3,0,66586,0,0,0,0,0,0,0,0,0,0,3,4,1,1,2,9,0,0,0,1,51.11111111
2,Media & Video,3.1,50000,1565,6,203475,0,0,0,0,2,2,0,75165,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
2,News & Magazines,3.7,5000,878,12,79730,1276,630,234,0,3,2,4,31023,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Productivity,4.3,1000000,880,9,109683,1274,528,193,7,3,7,3,4313,1,0,0,1,0,0,0,0,0,0,7,12,0,1,2,14,0,0,0,2,52.22222222
