RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,CloneFragement,CloneGroup,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
591,51,87,52,6,9430,22,11,0.005514316,0.000636267,0,0,2,0,0
631,0,9,6,6,1227,0,0,0.004889976,0.004889976,0,0,1,0,0
640,50,286,64,9,31737,118,53,0.002016574,0.000283581,2,5,6,3,1
643,51,130,27,3406,7666,10,4,0.003522045,0.444299504,1,0,3,3,0
646,51,53,14,6,3723,24,10,0.003760408,0.001611604,0,0,1,0,0
647,51,1179,343,41338,111217,589,230,0.003084061,0.371687782,0,6,3,0,0
648,51,726,194,12,68425,369,155,0.002835221,0.000175374,0,2,3,0,1
649,92,967,251,6,110180,448,178,0.00227809,5.44563E-05,0,1,5,0,5
650,51,509,217,12,58577,258,102,0.003704526,0.000204859,0,9,1,0,0
651,51,2125,789,9,196881,1270,318,0.004007497,4.57129E-05,2,1,9,4,9
652,51,1179,343,41338,111125,592,232,0.003086614,0.371995501,0,6,3,0,0
654,51,51,14,6,3577,16,7,0.003913894,0.001677383,0,0,1,0,0
655,51,64,5,3,6945,6,3,0.000719942,0.000431965,2,0,6,3,0
656,51,106,26,4956,9771,31,13,0.002660935,0.507215229,0,1,2,0,2
657,0,52,16,6,4363,36,15,0.003667201,0.001375201,0,0,3,0,0
658,51,248,89,3,37291,321,40,0.002386635,8.04484E-05,1,3,4,4,1
690,51,1999,579,9,193199,1286,471,0.00299691,4.65841E-05,1,2,8,8,4
691,92,3214,965,12,338034,2129,773,0.002854742,3.54994E-05,1,3,11,11,3
694,51,407,69,6,36368,221,93,0.001897272,0.00016498,0,1,2,0,2
695,100,798,263,6,110236,421,178,0.00238579,5.44287E-05,1,3,11,11,3
696,51,274,238,9,63832,118,38,0.003728537,0.000140995,4,1,11,2,11
697,100,1119,144,6,157577,2358,336,0.000913839,3.80766E-05,0,2,6,0,3
