RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
156725,100,1929,532,232436,138215,0.38491,168.16988,2,1,12,6,12
4102,51,77,22,6,5147,0.42743,0.11657,0,0,4,0,0
117543,92,1439,380,9,160859,0.23623,0.00559,0,4,4,0,1
165,92,721,178,9,90471,0.19675,0.00995,0,3,5,0,1
138662,51,235,104,6,25752,0.40385,0.0233,5,5,10,2,2
13710,51,1394,288,12,130922,0.21998,0.00917,6,1,15,2,15
169957,51,274,53,6,23623,0.22436,0.0254,1,2,3,3,1
53303,50,892,281,15,96983,0.28974,0.01547,1,0,8,8,0
10743,50,683,169,12,59743,0.28288,0.02009,1,0,11,11,0
137920,51,3731,915,15,417936,0.21893,0.00359,1,8,9,9,1
5357,51,2640,722,9,243347,0.2967,0.0037,0,4,5,0,1
71202,51,254,82,6,27161,0.3019,0.02209,3,2,11,3,5
91789,92,5102,993,13,527289,0.18832,0.00247,2,1,11,5,11
172738,51,124,38,6,11009,0.34517,0.0545,0,1,3,0,3
156063,92,1372,219,6,109844,0.19937,0.00546,0,2,3,0,1
94832,51,72,27,13716,6928,0.38972,197.97921,1,0,5,5,0
118149,51,160,69,6,10068,0.68534,0.05959,0,1,4,0,4
187916,92,2624,615,15,275768,0.22301,0.00544,0,7,3,0,0
17632,92,250,102,6,43746,0.23316,0.01372,0,3,2,0,0
125694,51,193,69,12,16538,0.41722,0.07256,0,1,2,0,2
6763,51,70,24,6,5330,0.45028,0.11257,0,1,3,0,3
141096,51,293,132,6,24462,0.53961,0.02453,1,3,8,8,2
29676,51,608,164,9,68416,0.23971,0.01315,2,2,5,2,2
8762,51,541,136,9,55681,0.24425,0.01616,1,1,9,9,9
168640,51,2127,720,9,282433,0.25493,0.00319,0,6,3,0,0
4575,51,75,37,12,11541,0.3206,0.10398,0,3,4,0,1
132398,86,4352,1287,12,447228,0.28777,0.00268,10,5,35,3,7
123633,51,926,290,12,89235,0.32498,0.01345,1,2,8,8,4
160002,100,1450,493,6,183603,0.26851,0.00327,3,2,15,5,7
120058,51,71,20,5111,7600,0.26316,67.25,1,1,3,3,3
137133,92,1163,153,9,97898,0.15629,0.00919,5,0,16,3,0
22779,83,7360,1806,172793,714002,0.25294,24.20063,2,2,23,11,11
429,51,109,27,5114,11059,0.24415,46.24288,0,0,3,0,0
80987,92,2038,522,330543,168784,0.30927,195.83788,2,4,7,3,1
165736,92,726,170,6,89141,0.19071,0.00673,4,2,7,1,3
182627,0,14,2,3,761,0.26281,0.39422,1,0,3,3,0
139404,51,78,29,5095,7336,0.39531,69.45202,1,0,5,5,0
20013,95,3849,843,9,422671,0.19945,0.00213,1,2,15,15,7
17778,51,709,362,6,66725,0.54253,0.00899,0,1,5,0,5
30880,51,64,10,6,6111,0.16364,0.09818,0,0,2,0,0
28231,50,523,212,12,57217,0.37052,0.02097,3,0,13,4,0
16241,92,2640,748,47,304006,0.24605,0.01546,6,1,11,1,11
125955,51,74,32,6,7771,0.41179,0.07721,1,1,3,3,3
167624,100,2498,494,6,303847,0.16258,0.00197,1,3,12,12,4
6004,50,143,20,6,10850,0.18433,0.0553,0,0,5,0,0
151343,92,4260,798,21,442374,0.18039,0.00475,0,7,2,0,0
58497,51,9,0,6,232,0,2.58621,0,0,1,0,0
64431,92,679,228,6,71995,0.31669,0.00833,0,1,8,0,8
144666,92,778,238,6,97688,0.24363,0.00614,0,3,3,0,1
20400,51,955,319,12,97346,0.3277,0.01233,0,4,7,0,1
165757,51,875,185,9,78399,0.23597,0.01148,0,2,3,0,1
138496,95,6535,1657,15,766541,0.21617,0.00196,3,7,18,6,2
143714,92,896,155,9,83676,0.18524,0.01076,0,1,1,0,1
56464,50,2282,874,12,251343,0.34773,0.00477,4,1,17,4,17
123452,50,2703,649,41339,245060,0.26483,16.86893,1,5,9,9,1
5664,51,608,246,6,56269,0.43719,0.01066,0,4,8,0,2
13050,0,682,281,9,109821,0.25587,0.0082,8,1,14,1,14
6089,51,20,4,3,719,0.55633,0.41725,0,0,1,0,0
30314,92,2583,454,9,301133,0.15076,0.00299,0,2,2,0,1
16965,100,5358,1348,546,583902,0.23086,0.09351,2,4,12,6,3
19861,50,2001,674,12,227006,0.29691,0.00529,20,2,44,2,22
162337,100,3202,867,21,306714,0.28267,0.00685,0,3,12,0,4
5172,51,1386,316,12,117734,0.2684,0.01019,1,1,15,15,15
89667,92,5456,1358,12,509842,0.26636,0.00235,1,2,12,12,6
143144,0,76,1,6,2411,0.04148,0.24886,0,3,4,0,1
118035,51,142,43,6,15045,0.28581,0.03988,0,1,7,0,7
123813,51,34,1,6,2086,0.04794,0.28763,0,0,3,0,0
13011,51,312,97,5120,35550,0.27286,14.40225,0,0,3,0,0
171980,51,301,145,3679,40380,0.35909,9.11095,0,5,5,0,1
156270,51,74,34,350,8522,0.39897,4.10702,2,5,7,3,1
91908,92,1008,123,6,85760,0.14342,0.007,2,1,7,3,7
134942,0,39,4,3,2900,0.13793,0.10345,0,0,1,0,0
173170,51,660,151,9,58535,0.25797,0.01538,0,1,2,0,2
151396,50,47,0,3,1947,0,0.15408,9,0,11,1,0
134872,51,453,101,6,42797,0.236,0.01402,0,1,7,0,7
54453,92,1901,344,6,234423,0.14674,0.00256,3,2,6,2,3
29216,51,5121,1546,12,536809,0.288,0.00224,0,3,3,0,1
146017,51,156,84,3,19408,0.43281,0.01546,0,1,1,0,1
17925,50,1592,542,15,181561,0.29852,0.00826,1,7,13,13,1
138451,50,1522,618,9,152109,0.40629,0.00592,3,4,14,4,3
136127,50,5173,1014,12,449767,0.22545,0.00267,5,3,15,3,5
172793,51,525,206,9,47760,0.43132,0.01884,3,5,12,4,2
139838,92,947,214,9,126534,0.16912,0.00711,2,3,4,2,1
91324,51,723,175,6,80632,0.21704,0.00744,0,2,4,0,2
30306,92,453,129,6,62082,0.20779,0.00966,0,7,2,0,0
13172,100,2890,716,9,378696,0.18907,0.00238,1,4,10,10,2
183649,100,975,253,9,117209,0.21585,0.00768,0,1,10,0,10
122928,51,328,48,6,29202,0.16437,0.02055,1,1,7,7,7
66610,51,58,17,3,6864,0.24767,0.04371,0,0,1,0,0
150126,51,354,152,9,35780,0.42482,0.02515,2,0,12,6,0
2862,51,6500,1760,2131,610260,0.2884,0.3492,8,0,16,2,0
148038,50,1235,309,6,118793,0.26012,0.00505,0,2,8,0,4
68614,51,2692,902,15,262308,0.34387,0.00572,0,1,8,0,8
170755,51,261,81,6,22921,0.35339,0.02618,0,1,2,0,2
6241,51,294,96,3,31758,0.30229,0.00945,0,1,4,0,4
18712,51,1280,438,18,142127,0.30818,0.01266,0,5,5,0,1
19104,50,332,70,6,27085,0.25845,0.02215,0,1,10,0,10
147444,92,2504,485,6,293592,0.1652,0.00204,0,1,3,0,3
4114,53,56,18,3,3908,0.46059,0.07677,25,0,29,1,0
75037,51,421,112,9,44462,0.2519,0.02024,2,4,6,3,1
4236,92,242,79,9,24803,0.31851,0.03629,0,6,7,0,1
158194,51,609,135,12,96536,0.13984,0.01243,0,1,4,0,4
13091,92,772,381,9,152107,0.25048,0.00592,0,1,6,0,6
155008,92,1916,758,9,289402,0.26192,0.00311,1,3,9,9,3
164641,92,4006,691,9,434513,0.15903,0.00207,0,6,4,0,0
143514,51,1392,385,6,344548,0.11174,0.00174,4,2,26,6,13
168024,51,3518,833,28,315288,0.2642,0.00888,0,8,4,0,0
182060,51,963,212,9,94667,0.22394,0.00951,0,6,3,0,0
173019,50,1960,568,9,156701,0.36247,0.00574,2,5,12,6,2
73223,50,125,76,9,18563,0.40942,0.04848,2,1,5,2,5
162002,0,233,72,6,18582,0.38747,0.03229,2,3,2,1,0
