Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,Jlint
2,Sports,4.2,10000000,51,727,9,105157,2449,1998,237,,2,2,,105
2,Music & Audio,4.6,1000,51,50,3,5302,62,8,4,,1,2,,25
2,Personalization,4.2,100000,50,350,12,46014,910,399,111,2,1,2,7,122
2,Communication,4.4,10000,0,8,6,2950,,,,,1,,,0
2,Books & Reference,4.4,5000,92,599,6,79019,712,289,121,,1,3,,149
2,Tools,4.6,1000,50,399,6,35689,,,,2,,2,,56
2,News & Magazines,3.7,1000000,50,3187,15,291010,5006,2252,842,2,3,2,,917
2,Health & Fitness,3.4,1000,0,918,6,83550,1415,1059,158,,4,2,5,85
2,Entertainment,3.8,50000,51,110,6,10211,165,73,12,,1,3,2,34
2,Board,3.5,100000,51,547,9,49533,801,191,75,,5,2,8,125
2,Entertainment,4.8,1000,92,3132,12,328717,6598,4507,931,3,2,2,4,468
2,Medical,3,1000,50,62,3,8857,124,35,14,4,2,2,,35
2,Music & Audio,4.2,100000,100,554,3,78237,776,278,107,,6,3,3,251
2,Books & Reference,4.4,1000,51,70,6,7226,81,4,2,,1,2,,32
2,Arcade,3.4,10000,51,887,6,78304,1033,219,89,,3,2,4,271
2,Education,3.6,5000,0,324,6,29788,434,211,88,,3,2,2,55
2,Entertainment,4.3,10000,100,722,6,88839,939,412,167,6,2,3,3,168
2,Finance,4.2,1000,50,253,9,25972,295,50,21,1,5,2,,107
2,Communication,4.2,1000,51,1478,9,160258,1840,503,190,5,2,3,2,285
2,Entertainment,3.5,1000,100,2234,12,178490,,,,2,1,5,,472
2,Tools,3.8,10000,0,51,6,7742,62,26,12,1,,4,,2
2,Puzzle,3.9,10000,0,80,9,7198,116,25,9,,1,2,4,33
2,Business,4.1,100000,51,198,6,17870,335,126,52,2,1,5,2,21
2,Puzzle,4.6,1000000,100,5645,21,569926,8796,4084,1272,2,6,,,1483
2,Tools,4.2,10000,51,25,3,2795,51,10,5,3,,2,,3
2,Medical,4.3,1000,51,275,6,20862,280,46,20,,3,3,,87
2,Productivity,4.3,5000000,51,1404,9,152693,1959,800,324,1,4,3,,370
2,Communication,4.3,100000,51,131,12,19371,,,,,,2,,7
2,Photography,4.5,100000000,100,6243,15,609104,9337,3806,1100,10,,9,,1935
2,Music & Audio,3.5,10000,53,4666,22,483121,6547,3363,1090,10,1,5,3,1174
2,Music & Audio,4.2,100000,51,779,6,98598,1385,473,190,3,1,2,,684
2,Music,3.7,1000,50,13,6,1707,,,,5,,2,,0
2,Music & Audio,4,1000,50,1937,9,206463,3099,1232,430,1,2,2,8,646
2,Music & Audio,4.1,1000,51,105,6,9866,132,44,18,3,1,4,4,31
2,Education,4.4,10000,92,1106,6,120609,1544,635,234,1,2,3,18,272
2,Puzzle,4.3,10000,92,2549,12,242133,,,,,7,2,,863
2,Casual,3.5,100000,51,996,9,103949,1162,481,196,2,2,,,245
2,Entertainment,3.8,5000,51,95,3,15497,196,84,31,1,2,2,2,65
2,Tools,3.6,1000,51,71,5098,6629,71,0,0,,,2,18,25
2,Puzzle,3.7,5000,0,17,3,1864,13,2,1,,,2,,67
2,News & Magazines,3.9,10000,51,26,3,1787,,,,,,2,,5
2,News & Magazines,3.3,100000,51,1188,6,155239,3132,2303,390,1,2,2,,166
2,Tools,4.7,1000,51,70,3660,6418,69,8,3,,,2,8,33
2,Puzzle,3.6,10000,50,154,9,33083,219,70,29,5,1,2,22,478
2,Casual,4.4,1000000,51,3121,9,266320,4347,1838,479,,6,4,12,922
2,Travel & Local,4.5,100000,50,4968,54247,565809,8928,4516,1409,10,5,5,,1764
2,Entertainment,3.4,10000,0,23,3,2720,47,19,8,,,,26,9
2,Personalization,3.6,10000,95,1989,9,243912,4200,3220,589,4,,2,,308
2,Sports,4.4,5000000,92,2827,24,300301,,,,4,5,5,,869
2,Books & Reference,3.8,100000,51,415,6,30544,380,24,11,,4,2,,144
2,Entertainment,4.3,5000000,100,873,12,92818,1330,524,171,2,1,2,12,201
2,Education,3.7,1000,92,4468,9,560451,9266,6301,1211,3,3,4,,965
2,Communication,4.6,10000000,50,4432,24,382950,6898,2029,714,2,4,13,3,1251
2,Tools,4.2,10000,0,24,3,2357,49,2,1,,2,6,,3
2,Tools,4.5,1000,51,1333,12,275023,3467,1963,467,,1,4,2,1008
2,Music & Audio,4.1,1000,51,485,6,42494,570,236,98,,2,2,,111
2,Medical,3.3,1000,51,1114,12,114239,1556,696,276,2,8,2,2,348
2,Music & Audio,4.6,500000,92,1470,9,194633,2321,1024,363,,4,,,421
2,Travel & Local,3.7,10000,50,4795,24,515462,9075,5385,1552,,4,6,,1212
2,Productivity,3.7,1000,0,1267,12,119280,2507,1013,301,,2,2,3,403
2,Personalization,4.4,5000,0,385,9,37524,482,235,99,,3,2,,68
2,Books & Reference,4.1,10000,92,1351,15,138088,,,,1,3,3,,331
2,Business,3.8,5000,53,3437,21,254348,3894,1319,417,7,1,5,,1168
2,Media & Video,4.3,10000,92,1283,12,121349,1807,784,127,,1,2,4,364
2,Media & Video,5,1000,100,261,6,29094,477,145,66,,4,,,81
2,Entertainment,4,50000,50,50,6,6647,52,7,2,3,1,2,2,9
2,Entertainment,3.5,500000,51,118,6,12564,166,20,9,5,,3,3,40
2,Entertainment,3.3,50000,100,2035,9,236538,4308,2991,495,,2,2,,339
2,Productivity,4.3,10000,51,832,6,87341,1164,501,197,3,2,2,2,177
2,Tools,4.2,1000000,51,1429,9,88353,1172,245,100,,6,2,6,196
2,Entertainment,3.6,5000,51,177,6,15408,,,,1,2,2,,58
2,Medical,3.8,5000,0,52,3,3544,1,0,0,,1,2,,44
2,Music & Audio,4,100000,92,798,9,109557,1113,445,177,1,2,2,3,217
2,Education,4.5,10000,51,5151,21,562867,9924,5558,1576,,3,,,1696
2,Media & Video,3.7,100000,51,581,9,57783,,,,,2,2,,218
2,Travel & Local,3.9,1000,50,85,6,4913,68,24,10,,,2,,36
2,Entertainment,3.9,1000,0,8,6,156,1136,496,190,,,,2,0
2,Business,3.8,100000,51,760,9,85185,,,,1,2,4,,198
2,Racing,4.1,10000,92,523,9,69763,655,263,110,,1,4,5,145
2,Tools,4,500000,100,2708,9,324266,5346,3529,635,4,2,5,8,661
2,Casual,3.9,1000000,51,1067,6,107945,1295,389,151,3,5,3,,391
2,Books & Reference,4.1,100000,0,1109,12,113907,,,,,5,4,,228
2,Casual,3.6,10000,51,227,3354,20416,314,100,41,,5,2,2,69
2,Personalization,4.2,1000,0,26,3,3944,52,33,9,1,1,,,9
2,Finance,4.3,10000,92,2369,9,276214,5257,4051,564,,1,2,,352
2,Entertainment,3.9,500000,51,694,9,61757,,,,,3,2,,156
2,Education,3.7,10000,50,459,6,53965,827,334,110,,1,2,11,134
2,Communication,4.3,1000,51,70,5098,7710,66,2,1,,,4,,30
2,Entertainment,4.1,10000000,51,4052,15,418187,5464,2132,730,,5,3,1,1364
2,Medical,3.8,10000,51,601,6,47894,727,217,79,,1,2,,149
2,Casual,3.7,100000,50,347,12,34648,449,89,41,2,1,2,4,150
2,Lifestyle,3.8,5000,51,67,3663,6379,76,18,9,,,2,4,25
2,News & Magazines,4.2,50000,92,1505,15,180573,,,,,5,5,,464
2,Lifestyle,4.4,1000,50,448,6,36739,593,315,115,1,1,2,,83
2,Casual,3.8,100000,51,170,6,25392,203,30,13,1,5,2,2,56
2,Education,4,1000000,51,182,6,16211,204,10,5,,3,3,1,85
2,Puzzle,3.5,100000,100,4567,30,570707,8641,4441,1181,,4,,17,1261
2,Entertainment,3.4,10000,0,8,3,329,3,0,0,,,2,2,0
2,Tools,4,1000,51,193,9,22051,,,,3,1,2,,46
2,Business,4.4,100000,92,1395,9,182903,3716,2973,376,,1,2,5,127
2,Puzzle,3.8,5000000,51,977,12,98238,1212,437,117,,3,2,,231
2,Health & Fitness,4.3,10000,51,1158,15,98285,1230,290,115,,4,5,4,242
2,Education,5,1000,51,27,3,1155,8,2,1,1,,6,1,0
2,Health & Fitness,4.3,10000000,51,550,3679,61054,872,248,104,1,3,5,7,181
2,Travel & Local,4.4,1000,50,1249,9,157511,3153,2368,401,6,2,2,3,150
2,Role Playing,4.7,50000,52,1147,12,116707,1754,649,275,13,,2,5,344
2,Business,4.3,1000000,92,1236,6,143701,1563,553,223,,6,2,,303
2,Tools,4.2,100000,51,1619,328162,212687,2222,721,270,4,3,6,,692
2,Tools,4.1,50000,0,288,12,28586,358,79,33,,,,,221
2,Puzzle,4.5,10000,92,624,3,75348,,,,,3,2,,183
2,Card,3.3,10000,92,678,12,87441,1014,450,145,3,1,2,11,178
2,Tools,3.8,10000,51,73,6,7946,,,,,1,1,,35
2,Tools,3.4,1000,51,581,9,54331,,,,,3,2,,105
2,Lifestyle,3.7,10000,92,527,9,69943,659,264,109,,1,4,4,146
