Files	LevenDistance	Not a Clone	Clone
kraw_try1.sumprod1c()-kraw_try1.main()	90	1	
kraw_try1.sumprod1c()-kraw_try1.sumprod4d()	22		1
kraw_try1.sumprod1c()-kraw_try1.sumprod2d()	3		1
kraw_try1.sumprod1c()-kraw_try1.type1b_krawitz()	39	1	
kraw_try1.sumprod1c()-kraw_try1.type3a_krawitz()	39	1	
kraw_try1.sumprod1c()-kraw_try1.sumprod2a()	2		1
kraw_try1.sumprod1c()-kraw_try1.type2b_krawitz()	39		
kraw_try1.sumprod1c()-kraw_try1.sumprod4a()	1		
kraw_try1.sumprod1c()-kraw_try1.type3b_krawitz()	54		
kraw_try1.sumprod1c()-kraw_try1.type1a_krawitz()	39		
kraw_try1.sumprod1c()-kraw_try1.type4b2_krawitz()	57		
kraw_try1.sumprod1c()-kraw_try1.sumprod4b()	1		
kraw_try1.sumprod1c()-kraw_try1.sumprod2c()	14		
kraw_try1.sumprod1c()-kraw_try1.sumprod3e()	10		
kraw_try1.sumprod1c()-kraw_try1.type4a_krawitz()	57		
kraw_try1.foo3()-kraw_try1.sumprod1b()	63		
kraw_try1.foo3()-kraw_try1.sumprod4c()	63		
kraw_try1.foo3()-kraw_try1.sumprod3d()	61		
kraw_try1.foo3()-kraw_try1.mult()	50		
kraw_try1.foo3()-kraw_try1.main()	93		
kraw_try1.foo3()-kraw_try1.sumprod4d()	67		
kraw_try1.foo3()-kraw_try1.sumprod2d()	64		
kraw_try1.foo3()-kraw_try1.type1b_krawitz()	73		
kraw_try1.foo3()-kraw_try1.type3a_krawitz()	72		
kraw_try1.foo3()-kraw_try1.sumprod2a()	64		
kraw_try1.foo3()-kraw_try1.type2b_krawitz()	73		
kraw_try1.foo3()-kraw_try1.sumprod4a()	63		
kraw_try1.foo3()-kraw_try1.type3b_krawitz()	79		
kraw_try1.foo3()-kraw_try1.type1a_krawitz()	73		
kraw_try1.foo3()-kraw_try1.type4b2_krawitz()	66		
kraw_try1.foo3()-kraw_try1.sumprod4b()	63		
kraw_try1.foo3()-kraw_try1.sumprod2c()	66		
kraw_try1.foo3()-kraw_try1.sumprod3e()	65		
kraw_try1.foo3()-kraw_try1.type4a_krawitz()	80		
kraw_try1.foo3()-kraw_try1.sumprod1c()	63		
kraw_try1.sumprod3a()-kraw_try1.sumprod1b()	5		
kraw_try1.sumprod3a()-kraw_try1.sumprod4c()	10		
kraw_try1.sumprod3a()-kraw_try1.sumprod3d()	10		
kraw_try1.sumprod3a()-kraw_try1.mult()	70		
kraw_try1.sumprod3a()-kraw_try1.main()	89		
kraw_try1.sumprod3a()-kraw_try1.sumprod4d()	24		
kraw_try1.sumprod3a()-kraw_try1.sumprod2d()	7		
kraw_try1.sumprod3a()-kraw_try1.type1b_krawitz()	38		
kraw_try1.sumprod3a()-kraw_try1.type3a_krawitz()	38		
kraw_try1.sumprod3a()-kraw_try1.sumprod2a()	6		
kraw_try1.sumprod3a()-kraw_try1.type2b_krawitz()	38		
kraw_try1.sumprod3a()-kraw_try1.sumprod4a()	5		
kraw_try1.sumprod3a()-kraw_try1.type3b_krawitz()	52		
kraw_try1.sumprod3a()-kraw_try1.type1a_krawitz()	38		
kraw_try1.sumprod3a()-kraw_try1.type4b2_krawitz()	57		
kraw_try1.sumprod3a()-kraw_try1.sumprod4b()	5		
kraw_try1.sumprod3a()-kraw_try1.sumprod2c()	15		
kraw_try1.sumprod3a()-kraw_try1.sumprod3e()	13		
kraw_try1.sumprod3a()-kraw_try1.type4a_krawitz()	56		
kraw_try1.sumprod3a()-kraw_try1.sumprod1c()	5		
kraw_try1.sumprod3a()-kraw_try1.foo3()	64		
