APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
58d085ad-98a8-4c9b-a1bc-cc6cfa6b10de,2,Lifestyle,3.2,50000,333,3679,40162,,,,1,2,5,,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,51.11111111
d09dc088-3548-450a-8906-3106c4e7acff,2,Communication,4.3,10000000,3636,18,368038,5648,2397,882,6,,6,3,1,0,1,1,0,0,0,0,0,0,8,12,1,1,1,14,0,0,1,1,53
6bff9f2c-1450-48c7-bec7-906e0981c506,2,Entertainment,4,500000,795,15,75604,1304,767,242,2,1,2,11,1,0,0,1,0,0,0,0,0,0,3,6,0,1,0,4,0,0,1,2,50
976359bd-4fdd-4ceb-ac17-8bad4c20d725,2,Arcade,4.2,1000,2346,19,245758,4422,2623,573,,4,2,9,1,0,1,1,0,0,0,0,0,0,3,3,0,2,0,8,0,0,0,2,50
6b21834d-bc10-4c2f-8fe2-e14a21124b31,2,Puzzle,3.5,1000,11,3,1444,1,0,0,,,2,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
50541117-7611-42fd-a737-d2b2aedd563f,2,Education,4.2,5000,525,5101,48010,881,287,115,2,,2,11,0,1,1,1,0,0,0,0,0,0,4,4,0,1,0,6,0,0,0,2,100
e1f25cdd-10b5-4712-9ee5-379830c3e786,2,Travel & Local,3.7,10000,27,3,1582,30,10,3,,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
e81a2d8d-e3f3-4c3e-843a-0d160808c421,2,Puzzle,4,50000,27,3,4673,75,29,11,,,2,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
87d12ffc-4038-4593-86da-13a12c4ee969,2,Entertainment,3.4,1000,929,6,101385,,,,,2,2,,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,92
05855a31-2f9d-4a2e-adf3-888be9e37b0b,2,Puzzle,4.4,500000,1146,6,131009,1644,489,188,,3,2,3,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
147e7c13-4723-467d-bb04-6a1ea5d7f203,2,Music & Audio,4.3,10000,309,6,51085,353,78,35,3,2,4,,1,1,1,1,0,0,0,0,0,0,2,4,0,1,0,4,0,0,0,0,92
ab44e2d3-cba5-473d-8f55-67495522d9a1,2,Productivity,4.3,1000000,1677,18,169454,1931,480,181,2,4,4,3,,,,,,,,,,,,,,,,,,,,,
1f6fc657-66ef-4aff-93a8-ba355461f825,2,Business,4.1,10000,13,3,570,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
f11384fa-7cb8-4abf-b22e-b9f1a1fdaa56,2,Finance,3.5,1000,73,5095,7411,93,10,5,1,1,4,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
d65f7697-079a-4112-9ae4-c6c4a1a56526,2,Communication,4.4,100000000,3412,9,284705,,,,19,1,5,,1,1,1,1,0,0,0,0,0,0,14,17,2,1,4,27,0,0,1,2,100
ef591801-19f4-4f4e-ab9a-93f683408d28,2,Music & Audio,3.8,1000,12,3,1487,1,0,0,3,,2,3,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
75af29a3-9a2c-468f-a272-065b2da45c53,2,Music & Audio,4,5000,612,6,76357,857,381,144,,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
c71e321a-88c6-41b6-b688-206ad42b0bc8,2,Entertainment,4.3,1000000,345,9,55205,,,,,1,2,,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
dbeed7ab-104b-470b-88de-c65ba4af1085,2,Media & Video,3.1,50000,1565,6,203475,,,,,2,2,,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
b30bfbca-d7f0-4856-aac4-e60d938ee900,2,Tools,4.3,50000,26,3,2024,31,8,3,,,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bebe5deb-2231-4de7-81fe-8d2909ba40a0,2,Music & Audio,4.1,10000,574,9,55760,769,289,118,,2,2,,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
b4bcd452-78e9-4fab-84af-42b4cdaff20b,2,Photography,4.7,5000,78,3,5546,160,103,26,,,2,,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,51.11111111
62db9fb5-396a-4593-8eef-757b45c2f91a,2,Tools,4.2,10000,25,3,2835,38,14,5,,,2,5,,,,,,,,,,,,,,,,,,,,,
4e6147d2-3933-498c-ad62-c044d626a5a2,2,Sports,3.9,1000000,305,3,23751,447,207,56,4,1,2,14,0,0,0,1,0,0,0,0,0,0,1,5,0,2,0,4,0,0,0,0,51.11111111
9dd8e94d-52fe-421c-98fa-6bfe6400731a,2,Education,4.5,10000,36,6,4562,,,,,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aff1523e-4bf2-4b7d-83f7-42c309206398,2,News & Magazines,4.4,10000,2610,12,243660,2893,964,352,1,9,2,,0,1,1,1,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,92
095ee988-3826-4d53-89ad-b30627d9448f,2,Lifestyle,4,50000,239,5179,34341,,,,1,,2,,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,51.11111111
edf3c9ca-4988-44ce-b495-87895508d8c3,2,Personalization,3.9,10000,6,3,285,1008,217,60,,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc027439-d7fb-4f3a-9386-78a666cb8bfb,2,Tools,3.9,50000,114,3663,11101,117,13,6,,,2,2,1,0,1,1,0,0,0,0,0,0,3,7,0,1,0,6,0,0,0,0,50
5042fb45-fae0-470d-8140-e604c98261b0,2,Casino,4.6,50000,603,6,60534,965,303,136,6,5,2,11,,,,,,,,,,,,,,,,,,,,,
f4c463d6-8f3b-4713-9427-4ae2159e830d,2,Sports,4.4,1000,1424,9,136261,,,,,1,2,,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,92
32382af3-4255-491a-980b-b5ce625375a1,2,Tools,4.4,100000,638,6,63519,,,,,3,2,,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
8e48743a-9ca6-4df2-93c4-0f1086aa4f38,2,Shopping,3.8,10000,43,3,4044,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
b02c0ff1-8045-4dfa-bd72-c309eab29776,2,Arcade,3.1,10000,44,3,2941,71,49,12,,,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f6e4fb24-2f7e-40d4-8402-b7716296d9fb,2,Business,3.3,1000,614,6,54965,755,218,79,,1,2,6,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,51.11111111
196d98ec-3d71-442c-8a37-855c7d3f156b,2,Tools,3.8,10000,468,15,63529,753,300,124,9,4,2,,0,1,1,1,0,0,0,0,0,0,6,4,1,1,3,14,3,0,0,1,100
d760f9a4-f0a5-4359-83ee-25ce847f519b,2,News & Magazines,3.5,5000,575,6,74777,707,269,114,,1,2,8,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
7542e56a-e8ff-4380-a72e-05c627d7e528,2,Personalization,3.9,500000,81,6,5974,122,76,33,,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f51b417d-4e91-4e09-8f6e-7afa18587dde,2,Racing,3.9,1000000,1196,6,135200,,,,1,9,2,,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,92
530cc37d-e294-49ed-a9c0-dffd1f1c6e4e,2,Tools,3.6,10000000,1698,6,156601,2595,826,313,5,1,4,,0,0,1,1,0,0,0,0,0,0,7,7,1,1,2,12,0,0,0,2,50.66666667
