APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
c0b33b1e-833d-4b2c-8dd0-eae330224f72,1,Shopping,2.2,1000,57,3,6447,101,26,13,,,2,5,28905,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,51.11111111
43b15335-2624-4385-837e-d251866e8049,1,Lifestyle,2.9,1000,256,3381,23662,354,123,50,1,1,3,,67331,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
9da9111a-4491-4c2f-8946-97d36361a758,1,Casual,2.2,1000,67,5095,6549,70,0,0,,,2,2,3900,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,51.11111111
88282984-f38b-4a73-b526-c77cd4fd0bb6,1,Tools,2.9,1000,550,6,69357,,,,,7,2,,107007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51eea400-46cf-4a86-acbd-9476ed6fe350,1,Social,2.3,1000,9,3,250,3,2,1,,,2,14,16421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
0b4e3a79-6d47-49a8-bf17-8a777c75d5d9,1,Finance,2.2,1000,52,3,5389,,,,,,2,,120887,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
df7ec868-e124-40e2-825b-31da8e1d6939,1,Finance,2.2,1000,69,3,4823,,,,,,2,,127579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
8c2b723b-4f37-4923-a647-691c36db09fc,1,Casual,2.6,5000,70,6,11889,,,,3,3,3,,125006,1,0,0,1,0,0,0,0,0,0,4,5,0,1,0,6,0,0,0,2,50
504185ed-2cf5-4733-92a8-ea4abb704d41,1,Shopping,2.9,5000,164,6,13719,,,,,4,2,,120683,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e75061d4-3c0b-4e05-a0c1-b773dfa2a812,1,Finance,2.8,1000,28,3,1184,17,8,3,,,2,9,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a9f6b0a7-112f-4664-9343-41c1f10cfc26,1,Casual,2.5,5000,8,3,366,4,0,0,,1,2,3,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aba53bbc-d939-4818-abc5-50d1d529dff8,1,Entertainment,2.3,1000,146,6,12861,169,40,16,,1,2,,130549,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
e4234587-1f69-49fc-9863-32973fdb60a5,1,Shopping,2.8,1000,284,3,29541,396,83,37,4,1,7,2,3246,0,0,0,1,0,0,0,0,0,0,4,6,0,1,0,7,0,0,0,0,50
604422a6-9ba7-4fa3-ac96-a9e1654c3a0f,1,Travel & Local,1.8,1000,629,9,91286,2047,1683,213,,3,2,7,6760,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
378be432-e3d6-425f-8df7-b47fda8b83ce,1,Finance,2.6,10000,12,3,344,,,,4,,2,,122321,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,51.11111111
b22edb80-74e6-4f09-89b1-79fec68ad34b,1,Education,2,1000,84,3,5903,,,,1,,2,,105426,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
1f6a9cf6-16dc-4e0e-9978-167a4f2f7a97,1,Health & Fitness,2.8,1000,2662,18,428273,5731,3373,612,1,5,2,,58466,0,0,1,1,0,0,0,0,0,0,3,4,0,1,0,5,0,0,1,2,50
803b0c24-c87e-4ff3-9ddb-491a7164679c,1,News & Magazines,2.5,10000,1764,12,198611,2230,746,287,2,1,3,,69550,0,0,1,1,0,0,0,0,0,0,4,7,0,1,0,5,0,0,1,2,50
28b6494e-b7dd-48ec-83b6-f41eb9b1a4f1,1,Productivity,2.6,10000,1257,15,233296,,,,,5,2,,126883,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
d86ef039-c21c-40fd-9cab-ee24dad38733,1,Media & Video,2.5,10000,113,6,12000,172,49,22,,,2,5,6204,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
8b33977a-1a19-4aae-8d82-aa2f199e7e0f,1,Entertainment,2.8,1000,111,3,12191,174,47,21,,,2,1,6103,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
ede96f3a-d7b0-420c-b3bc-ec434d660653,1,Casual,2.3,10000,30,3,2227,23,6,3,1,,2,1,466,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,51.11111111
