Files,LevenDistance
readfuncs._readrowmarkclause()-list.list_concat_unique_ptr(),79.0
readfuncs._readrowmarkclause()-readfuncs._readnulltest(),45.0
readfuncs._readrowmarkclause()-outfuncs._outcreatestmt(),75.0
readfuncs._readrowmarkclause()-list.list_union(),77.0
readfuncs._readrowmarkclause()-outfuncs._outselectstmt(),75.0
readfuncs._readrowmarkclause()-readfuncs._readrowexpr(),27.0
readfuncs._readrowmarkclause()-outfuncs._outcasetestexpr(),85.0
readfuncs._readrowmarkclause()-list.list_concat_unique(),78.0
readfuncs._readrowmarkclause()-outfuncs._outrangetblref(),86.0
readfuncs._readrowmarkclause()-list.lappend_int(),85.0
readfuncs._readrowmarkclause()-list.list_head(),87.0
readfuncs._readrowmarkclause()-readfuncs._readtargetentry(),32.0
readfuncs._readrowmarkclause()-list.list_union_oid(),76.0
readfuncs._readrowmarkclause()-list.list_member_int(),79.0
readfuncs._readrowmarkclause()-readfuncs._readrangevar(),36.0
readfuncs._readrowmarkclause()-readfuncs._readaggref(),24.0
readfuncs._readrowmarkclause()-readfuncs._readfuncexpr(),17.0
readfuncs._readrowmarkclause()-readfuncs._readbooleantest(),45.0
readfuncs._readrowmarkclause()-outfuncs._outdefelem(),80.0
list.list_difference_oid()-outfuncs._outbitmapheapscan(),76.0
list.list_difference_oid()-outfuncs._outjoinpathinfo(),70.0
list.list_difference_oid()-outfuncs._outaggref(),72.0
list.list_difference_oid()-outfuncs._outvaluesscan(),76.0
list.list_difference_oid()-outfuncs._outctescan(),75.0
list.list_difference_oid()-list.list_copy(),49.0
list.list_difference_oid()-readfuncs._readsortgroupclause(),73.0
list.list_difference_oid()-readfuncs._readintoclause(),71.0
list.list_difference_oid()-outfuncs._outlimit(),72.0
list.list_difference_oid()-list.list_concat_unique_ptr(),39.0
list.list_difference_oid()-readfuncs._readnulltest(),68.0
list.list_difference_oid()-outfuncs._outcreatestmt(),75.0
list.list_difference_oid()-list.list_union(),33.0
