,rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
5-Mar,132,Entertainment,3.9,100000,51,546,6,52763,1,3,5,143
5-Mar,133,Puzzle,4,100000,51,70,6,4852,0,1,4,5
5-Mar,135,Music & Audio,3.7,100000,51,64,5111,6782,0,0,7,20
5-Mar,137,Productivity,4.2,10000,92,2280,6,271688,0,2,4,409
5-Mar,139,Entertainment,4.2,100000,51,536,6,52437,1,3,10,145
5-Mar,140,Arcade,4.1,100000,50,525,9,49935,6,3,7,166
5-Mar,143,Communication,3.9,100000,50,465,9,42056,3,0,4,113
5-Mar,144,Adventure,4.1,100000,92,649,6,92326,0,2,4,188
5-Mar,145,Weather,4.1,100000,0,13,3,582,0,1,6,1
5-Mar,146,Personalization,4.3,10000,83,2251,6,239376,13,2,10,621
5-Mar,147,Puzzle,3.7,100000,51,57,6,9838,0,0,2,27
5-Mar,149,Strategy,4.1,10000,92,302,6,49396,0,6,6,133
5-Mar,151,Tools,4.2,10000,100,876,6,142425,5,1,5,249
5-Mar,152,Entertainment,4.1,50000,51,536,6,52437,1,3,6,145
5-Mar,153,Entertainment,4.1,100000,51,615,6,66115,0,7,5,150
5-Mar,154,Personalization,4.4,50000,92,321,6,57162,0,3,2,132
5-Mar,155,Personalization,4.5,10000,51,1613,3,179996,3,0,9,186
5-Mar,156,Tools,4.3,50000,50,1972,6,233590,54,0,4,427
5-Mar,157,Health & Fitness,4,50000,51,439,9,45745,0,6,13,115
5-Mar,158,Libraries & Demo,3.8,50000,92,1263,41332,134408,1,3,4,399
5-Mar,159,Puzzle,4.2,10000,51,874,6,77946,1,4,4,182
5-Mar,160,Tools,4,100000,0,42,6,2875,0,0,4,9
5-Mar,162,Puzzle,4,50000,51,497,6,43675,1,2,6,109
5-Mar,163,Entertainment,4.3,50000,51,546,6,52763,1,3,6,143
5-Mar,165,Education,4,50000,92,721,9,90471,0,3,4,178
5-Mar,166,Entertainment,4.4,50000,51,536,6,52437,1,3,7,145
5-Mar,167,Finance,4.6,50000,50,1450,182709,109337,3,1,7,402
5-Mar,169,Tools,4,10000,100,1172,6,135143,1,4,2,290
5-Mar,171,Education,4.2,50000,92,242,9,45549,1,2,3,84
5-Mar,175,Weather,3.9,10000,92,532,3,82894,0,6,5,224
5-Mar,176,Libraries & Demo,4.1,10000,92,1263,41332,134358,1,3,4,399
5-Mar,177,Education,4.1,100000,51,285,12,24358,0,1,8,90
5-Mar,178,Personalization,4.3,10000,92,321,6,57142,0,3,1,132
5-Mar,179,Entertainment,4.5,10000,51,536,6,52437,1,3,10,145
5-Mar,180,Personalization,3.9,10000,100,212,6,40827,4,1,14,81
5-Mar,181,Education,3.9,50000,92,650,6,92354,0,2,3,188
5-Mar,183,Personalization,4.4,5000,92,1663,9,204546,2,1,7,238
5-Mar,184,Books & Reference,4.4,10000,100,1969,6,253109,3,2,10,380
5-Mar,185,Tools,4,10000,100,1172,6,135143,1,4,9,290
5-Mar,186,Education,3.9,50000,92,904,12,121254,3,2,26,317
5-Mar,187,Personalization,4.2,10000,0,85,3,5789,1,2,3,24
5-Mar,188,Media & Video,3.6,10000,92,376,6,61379,1,2,5,171
5-Mar,189,Comics,3.8,50000,51,454,9,41059,0,1,7,104
5-Mar,190,Strategy,3.5,50000,92,302,6,49396,0,6,3,133
5-Mar,191,Entertainment,4.1,10000,51,692,6,79159,1,0,12,182
5-Mar,192,Entertainment,3.8,50000,51,536,6,52437,1,3,14,145
5-Mar,193,Entertainment,4.7,10000,51,536,6,52437,1,3,11,145
5-Mar,194,Personalization,3.8,10000,0,8,3,291,0,1,20,0
5-Mar,195,Communication,4.1,10000,51,326,6,30326,2,3,3,53
5-Mar,196,Business,4.3,10000,92,1160,6,92640,0,4,4,235
5-Mar,197,Entertainment,4.3,10000,51,536,6,52437,1,3,4,145
5-Mar,198,Puzzle,4.4,10000,50,1938,12,162793,1,1,14,602
5-Mar,199,Adventure,3.8,10000,51,1495,6,171914,2,2,3,486
5-Mar,201,Personalization,4.4,10000,51,1697,3,192878,2,1,17,212
5-Mar,203,Puzzle,3.7,10000,0,258,9,35441,0,8,4,121
5-Mar,204,Medical,3.8,50000,51,362,12,34261,0,0,9,152
5-Mar,205,Entertainment,4.1,50000,51,852,6,76111,1,1,5,212
5-Mar,206,Casual,4.1,50000,0,60,3,4870,0,0,4,0
5-Mar,207,Entertainment,4.6,10000,51,536,6,52437,1,3,3,145
5-Mar,208,Entertainment,4.3,10000,51,615,6,66141,0,7,5,150
5-Mar,209,Tools,4.2,10000,0,10,6,215,0,0,9,0
5-Mar,212,Personalization,4.7,10000,92,321,6,57146,0,3,1,132
5-Mar,213,Puzzle,4.4,10000,0,26,6,2695,0,1,5,6
5-Mar,214,Casino,3.7,10000,51,1355,18,121550,1,6,3,433
5-Mar,216,Card,4,50000,51,111,15,11354,0,2,4,54
5-Mar,217,Productivity,4,50000,51,147,3487,13677,3,1,5,57
5-Mar,218,Puzzle,3.7,10000,92,358,6,36883,0,9,5,116
5-Mar,219,Casual,3.8,50000,92,875,15,104544,1,2,4,265
5-Mar,220,Casual,4.3,5000,51,389,6,46742,9,0,8,186
5-Mar,221,Tools,4,50000,92,1552,9,212579,1,0,2,203
5-Mar,222,Personalization,4.3,10000,92,321,6,57144,0,3,2,132
5-Mar,223,Entertainment,4.1,10000,50,568,9,51058,4,3,3,85
5-Mar,224,Entertainment,3.8,50000,0,322,3,23989,0,0,5,7
5-Mar,225,Education,4,50000,92,904,12,121233,3,2,10,317
5-Mar,226,Entertainment,4.4,10000,51,536,6,52437,1,3,11,145
5-Mar,227,Productivity,4.3,10000,100,1437,6,126205,2,2,3,303
5-Mar,228,Entertainment,4.4,10000,51,536,6,52437,1,3,12,145
5-Mar,229,Entertainment,4,50000,51,546,6,52763,1,3,1,143
5-Mar,230,Casual,3.9,10000,92,477,12,67860,1,9,8,153
5-Mar,231,Puzzle,3.8,50000,51,564,9,55286,0,2,4,139
5-Mar,232,Personalization,4.4,50000,92,321,6,57126,0,3,5,132
5-Mar,233,Action,3.4,10000,50,165,5111,19508,1,5,10,66
5-Mar,234,Tools,3.6,100000,51,248,6,26675,3,2,6,91
5-Mar,235,Books & Reference,4.7,50000,0,789,9,84562,1,3,6,185
5-Mar,236,Tools,3.7,50000,92,1263,41332,134358,1,3,6,399
5-Mar,237,Education,4.2,10000,92,1342,6,138077,0,1,7,371
5-Mar,238,Puzzle,4.1,50000,100,1849,12,196546,4,1,6,516
5-Mar,239,Casual,3.3,100000,51,1188,4956,92354,0,7,1,339
5-Mar,240,Music & Audio,3.8,100000,51,63,5111,6990,0,0,14,20
5-Mar,241,Personalization,4,50000,92,1153,9,167880,1,1,10,184
5-Mar,243,Communication,4.4,100000,0,29,3,2092,0,0,6,1
5-Mar,244,Educational,4.5,10000,92,1059,12,122705,3,1,2,408
5-Mar,245,Personalization,4.2,50000,92,3531,6,447997,1,3,8,837
5-Mar,246,Entertainment,3.9,10000,92,897,9,122202,0,4,6,261
5-Mar,247,Entertainment,4.1,100000,51,536,6,52437,1,3,3,145
5-Mar,248,Personalization,4.5,10000,92,1663,9,204546,2,1,5,238
5-Mar,249,Weather,4.2,100000,0,333,3,42537,0,6,9,135
5-Mar,250,Casual,3.8,50000,100,2706,6,277390,1,3,4,708
5-Mar,252,Personalization,4,100000,100,2557,6,290534,5,1,2,553
5-Mar,253,Entertainment,4.2,100000,92,691,6,97261,0,1,5,208
5-Mar,254,Music & Audio,4.1,100000,0,978,313355,158673,0,1,3,304
5-Mar,258,Productivity,4,100000,51,2051,30,229447,0,4,5,845
5-Mar,259,Weather,4.2,100000,0,45,3,3559,0,2,5,11
5-Mar,261,Casual,4,100000,92,1263,41332,134358,1,3,6,399
5-Mar,262,Tools,4,100000,100,2400,9,245421,2,1,17,556
5-Mar,263,Tools,3.9,100000,51,225,9,22848,2,6,15,46
5-Mar,265,Arcade,4.3,100000,50,2460,12,698017,11,1,7,863
5-Mar,266,Weather,4.3,100000,0,22,3,1172,0,1,7,1
5-Mar,267,Music & Audio,3.5,500000,51,65,5111,7106,0,0,6,20
5-Mar,268,Entertainment,3.4,500000,50,85,9,8035,0,0,4,38
5-Mar,269,Casual,3.6,500000,51,164,6,25089,1,4,12,56
5-Mar,270,Tools,4.4,500000,51,178,3,16302,0,1,11,57
5-Mar,272,Entertainment,4,500000,50,795,15,75604,2,1,12,144
5-Mar,273,Weather,4.2,100000,0,13,3,582,0,1,27,1
5-Mar,274,Communication,3.8,100000,100,238,3,29589,6,0,9,90
5-Mar,275,Weather,4.1,500000,0,45,3,3563,0,2,2,11
5-Mar,276,Entertainment,3.5,1000,51,1018,9,98892,3,2,4,252
5-Mar,281,Entertainment,4.7,1000,92,1882,9,272116,0,3,6,611
5-Mar,284,Music & Audio,4.3,1000,51,1179,41338,111149,0,6,6,343
5-Mar,285,Music & Audio,3.5,1000,50,2805,15,335360,0,3,2,707
5-Mar,286,Tools,3.9,10000,50,1310,12,111423,7,4,18,344
5-Mar,287,Shopping,3.2,10000,50,4857,18,520565,3,3,4,1227
5-Mar,289,News & Magazines,3.8,10000,92,613,6,76486,0,1,4,167
5-Mar,291,Communication,4.2,10000,51,162,6,16188,1,0,3,87
5-Mar,292,Arcade,3.9,100000,51,1262,3667,120755,0,2,13,461
5-Mar,293,Music & Audio,4.4,1000,51,2927,12,305677,0,5,11,870
5-Mar,294,News & Magazines,3.6,50000,92,552,6,71235,0,1,11,146
5-Mar,303,Books & Reference,3.8,1000,92,1518,12,180982,0,6,5,462
5-Mar,305,Entertainment,3.2,5000,51,72,3,8011,0,0,4,46
5-Mar,306,Books & Reference,4.4,1000,0,442,9,41702,0,4,5,79
5-Mar,307,Sports,4.6,5000,51,497,9,45061,1,2,16,96
5-Mar,309,Puzzle,4,10000,51,1426,18,140060,0,3,5,399
5-Mar,310,Books & Reference,4.1,10000,92,1518,12,180984,0,6,5,462
5-Mar,311,Media & Video,4.7,10000,51,1037,12,153372,1,1,2,378
5-Mar,312,Entertainment,4,10000,92,458,9,66859,0,5,3,144
5-Mar,313,Lifestyle,4.3,10000,50,1851,15,180140,0,3,10,451
5-Mar,314,Books & Reference,4.2,50000,92,286,6,46949,0,1,22,91
5-Mar,315,Books & Reference,4.3,100000,51,239,6,20370,0,1,7,66
5-Mar,316,Arcade,3.6,500000,51,248,6,22801,0,6,2,123
5-Mar,317,Media & Video,3.6,500000,51,787,6,65793,1,3,7,189
