AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
Hawaiian Tutor,Education,4.1,10000,1,0,7,6,3954,0,2,2
Learn French Phrasebook,Education,4,100000,1,0,443,9,191710,0,6,6
Free English Malay Dictionary,Education,4.1,100000,1,51,56,9,13959,0,1,7
MIT AI2 Companion,Education,4.3,100000,1,50,1871,18,524158,8,3,3
Bangla 2 English Dictionary,Education,4.3,100000,1,100,265,9,198659,1,3,6
Painless GRE,Education,4.5,100000,1,51,47,3679,29473,0,1,2
L'Çcole Ö la maison,Education,3.8,100000,1,0,254,15,73600,0,2,33
Sing Sing Together Free,Education,4.1,500000,1,51,7,6,8016,2,0,4
Play with Sammy (Lite),Education,4.3,100000,1,0,16,3,2263,0,1,2
Simply Fractions 2 (Lite),Education,3.4,10000,1,0,281,9,73277,0,4,11
???? ???,Education,4.7,10000,1,50,107,12,33000,2,3,9
Puzzles for Toddlers - Lite,Education,4.1,10000,1,92,1063,15,407400,0,8,12
Binary Calculator,Education,3.8,50000,1,92,397,9,146599,0,2,9
Baby's Number School-Free,Education,3.7,50000,1,51,4,3,7647,2,0,34
Kids Measurement Science Lite,Education,3.8,10000,1,0,17,3,6928,0,1,1
VTU Syllabus,Education,4.5,10000,1,92,163,6,90791,0,3,28
Baby's number school(bird)Free,Education,4.1,50000,1,51,6,3,7660,2,0,2
EBS ????  - EBS ??? ???,Education,3.4,10000,1,51,288,12,130922,6,1,1
Trig Quizzer,Education,4.6,10000,1,0,5,6,932,0,0,3
Fun Chinese Learning Games,Education,3.9,10000,1,51,403,15,120950,0,7,2
GMAT ToolKit,Education,4.1,10000,1,51,38,3,12800,0,0,2
Electronics Bundle,Education,4.1,10000,1,51,375,9,351965,0,3,1
Learn To Read Kids Reading App,Education,3.6,100000,1,51,77,12,38668,0,2,1
Easter Day Coloring Book,Education,3.8,100000,1,92,671,15,298987,3,3,2
iMathematics,Education,3.8,100000,1,51,85,12,23113,0,1,3
Wow! Christmas Coloring Book,Education,3.9,100000,1,92,670,15,298753,3,3,2
Kindergarten Kids Math Lite,Education,4.1,100000,1,0,29,3,7207,0,1,3
Learn 50 languages,Education,4.5,1000000,1,92,733,12,399858,2,4,7
Learn Cantonese Phrasebook,Education,4,10000,1,0,443,9,191816,0,6,4
EMT Tutor Lite - EMS Scenarios,Education,4.2,10000,1,51,77,6,21851,1,1,5
?????? ????????? ???????,Education,4.2,100000,1,92,238,12,127720,1,2,6
KhAndroid,Education,4,100000,1,51,84,9,30668,0,1,3
Hoc Tieng Anh Cho Nguoi Viet,Education,4.5,100000,1,92,520,12,299941,1,7,4
myHomework Student Planner,Education,4.2,500000,1,100,1691,41353,593431,0,8,8
Learn German Phrasebook,Education,4.1,100000,1,0,443,9,191928,0,6,13
Learn Thai - Phrasebook,Education,4.4,100000,1,0,443,9,192762,0,6,12
Unlocking the Bible,Education,4.6,10000,1,50,313,6,175774,1,1,14
Learn Chinese Mandarin Phrases,Education,4.2,500000,1,0,443,9,192019,0,6,11
Japanese Daily Words,Education,4,10000,1,92,243,12,101593,0,2,3
Little Piano,Education,4.1,500000,1,100,127,9,53844,0,2,2
Learn Japanese Phrasebook,Education,4.4,1000000,1,0,443,9,191776,0,6,9
Test Your English II.,Education,4.4,500000,1,51,43,5111,19154,0,2,10
JA Sensei - Learn Japanese,Education,4.6,500000,1,51,311,9,118632,0,2,11
Test Your English III.,Education,4.4,500000,1,51,29,5114,12899,0,0,13
Learn Korean Phrasebook,Education,4.5,1000000,1,0,443,9,191744,0,6,5
?????? - ???????,Education,4.1,100000,1,92,150,18,89383,0,1,7
EXAMEN DE MANEJO DMV EE.UU.,Education,4,10000,1,50,201,3688,92639,0,2,6
US DMV Driving Tests,Education,3.9,100000,1,50,138,3688,68969,0,4,4
Trig Pro,Education,4.2,10000,1,51,97,6,22785,1,2,8
????,Education,4.1,10000,1,92,51,6,19255,0,10,3
2014???????????,Education,4.5,50000,1,92,491,12,288214,0,5,3
2014???????????,Education,4.4,50000,1,92,491,12,288023,0,5,4
General Knowledge (32000+Faqs),Education,4.3,100000,1,100,845,20,477948,2,3,10
?????900?,Education,3.4,10000,1,50,49,6,24412,0,1,3
+900 Quest. de Gram†tica Demo,Education,3.7,10000,1,0,0,3,1270,0,1,4
?????? ??900?,Education,3.8,50000,1,50,310,12,108066,4,3,12
SPEAKING  900,Education,3.7,100000,1,50,532,9,197730,4,5,6
Where's? Geography Game FREE,Education,3.8,50000,1,92,167,12,89523,0,0,38
??????? - ?????,Education,4.1,10000,1,100,282,9,98780,0,1,10
Trigonometric,Education,4,10000,1,51,109,6,31283,0,3,13
Excel Tutorials Pro,Education,3.6,10000,1,51,32,3,7270,0,1,4
SQL note for Android,Education,4.1,10000,1,0,12,9,4250,0,0,4
Word Tutorials - Free,Education,3.9,100000,1,51,32,3,7270,0,1,19
???? ??????? El-Mohafez,Education,4.7,50000,1,51,1040,12,571082,1,1,13
"Math: Counting 1,2,3 (Free)",Education,4.3,10000,1,92,210,3,85079,1,4,6
Foundation Maths DEMO,Education,3.8,10000,1,0,23,3,12768,0,1,12
?????,Education,3.4,10000,1,50,91,9,38277,1,1,9
?????,Education,3.8,50000,1,50,91,9,38277,1,1,11
??????,Education,3.7,50000,1,50,91,9,38277,1,1,3
Kids Trucks: Puzzles,Education,4.3,500000,1,0,348,12,114239,0,10,8
"Alfabet dla dzieci, polski",Education,3.5,10000,1,0,70,9,32531,0,3,12
Loss of the night,Education,4.2,10000,1,51,273,17,109323,0,0,23
Sky walks star night!,Education,3.9,50000,1,92,155,6,72728,1,1,5
