Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount
1,Entertainment,2.3,1000,51,479,9,44825,583,239,99,,2,2,8
1,Sports,2.8,10000,100,1269,6,146536,2039,987,314,2,3,2,1
1,Lifestyle,2.9,10000,50,2607,18,289563,5056,3184,682,1,3,3,3
1,Music,2.9,1000,92,1319,12,154937,1780,758,301,,8,2,2
1,Transportation,2.6,5000,51,41,3,3130,59,27,8,,,2,10
1,Finance,2.7,10000,51,1673,12,198608,2612,1061,362,1,1,5,1
1,Social,2.8,10000,92,3596,15,372494,5963,2855,937,1,9,5,1
1,News & Magazines,2.3,100000,51,1793,12,201416,2546,1187,382,1,1,4,10
1,Education,2.9,5000,51,38,6,4069,57,22,10,1,,2,5
1,Entertainment,2.7,1000,50,196,6,19525,421,117,40,4,2,2,14
1,Entertainment,2.8,50000,51,62,3,6920,111,28,14,1,1,2,18
1,Productivity,2.6,10000,51,37,3,5837,45,12,6,,1,2,6
1,Family,2.4,10000,51,55,3682,5709,68,10,4,,,2,3
1,Shopping,2.6,5000,51,81,3,6833,142,46,18,,,3,12
1,Casual,2.9,5000,51,92,3,9995,150,41,19,1,,2,2
1,Productivity,2.5,1000,51,50,3,4506,42,10,4,,,4,5
1,Tools,2.4,5000,51,52,115,7386,96,16,5,,,2,10
1,Entertainment,2.7,1000,0,18,3,877,20,8,4,,,3,11
1,Puzzle,2.9,5000,0,9,3,330,6,0,0,,,2,5
1,Tools,2.7,1000,50,68,3,7938,133,39,17,2,,2,4
1,Arcade,1.3,1000,0,92,6,10826,173,45,19,,,4,9
1,Finance,2.8,5000,51,123,6,12321,171,47,21,,,2,8
1,Media & Video,2,5000,51,57,3,3339,99,14,6,,,4,6
1,Puzzle,2.4,1000,51,553,9,50269,744,287,117,,1,2,12
1,Tools,2.9,50000,51,1322,15,297213,3836,1816,417,1,10,2,2
1,Tools,2.8,1000000,92,216,6,41501,236,51,22,,1,2,25
1,Entertainment,2.8,1000,51,64,5114,6551,69,2,1,,,2,12
1,Puzzle,2.9,5000,92,513,9,46668,739,193,81,1,6,2,5
1,Puzzle,2.7,1000,51,843,6,74244,1006,412,169,1,3,5,21
1,Card,2.5,1000,92,4194,15,458684,7509,4301,1053,,8,2,10
1,Puzzle,2.7,1000,51,47,3,6252,20,0,0,,,2,8
1,Card,2.7,10000,51,26,3,2121,61,14,7,,,3,6
1,Entertainment,2.9,1000,51,366,6,33977,570,120,51,,1,2,7
1,Puzzle,1.8,1000,51,40,6,2976,80,25,12,,6,2,7
1,Transportation,2.9,5000000,50,2202,18,247038,4111,1818,503,4,4,5,14
1,Entertainment,2.8,1000,51,1450,269570,143209,1554,1111,179,,3,2,3
1,Puzzle,2.8,50000,92,860,72,123677,1536,818,211,,7,2,6
1,Social,1.7,1000,51,158,9,13508,180,20,8,2,1,5,30
1,Education,2.6,1000,51,180,6,21276,391,140,62,1,2,2,12
1,Photography,2.9,10000,,108,6,7745,170,51,20,1,,2,3
1,Music & Audio,2.4,50000,100,553,6,72775,707,278,113,,2,3,12
1,News & Magazines,2.7,1000,51,187,3357,15927,212,65,26,,,2,6
1,Entertainment,2.4,10000,92,574,12,65703,731,283,111,1,7,2,6
1,Books & Reference,2.9,1000,51,391,9,39033,615,149,60,,,2,2
1,Books & Reference,2.3,10000,51,227,3354,20416,314,100,41,,6,2,2
1,Casual,2.7,10000,0,12,3,569,10,0,0,,1,2,2
1,Arcade,2.8,1000,,105,6,17232,170,60,28,,,2,2
1,Sports,2.7,1000,51,89,6,8233,136,44,19,2,,2,7
1,Entertainment,2.8,5000,51,145,6,11571,118,4,2,,1,2,11
1,Finance,2.7,5000,51,812,9,67592,1205,542,191,1,1,2,3
1,News & Magazines,2.6,10000,51,1268,9,125874,2116,808,247,,3,6,9
1,Books & Reference,2.8,1000,51,763,9,78350,1413,704,176,3,2,2,5
1,Tools,2.4,10000,50,591,9,58554,897,420,140,2,1,3,6
1,Tools,2.6,100000,51,634,9,55512,708,100,44,3,3,5,6
1,Entertainment,2.2,1000,50,191,6,12835,254,97,38,1,1,4,10
1,Transportation,2.9,5000000,51,2430,18,269241,4387,1930,550,5,3,5,17
1,Tools,2.3,1000,0,6,3,129,615,149,60,,,2,6
1,Travel & Local,2.5,1000,50,1457,103,157572,1935,696,292,3,6,5,1
1,Entertainment,2.9,10000,51,732,9,77323,1215,430,172,8,1,2,7
1,Business,2.6,1000,50,1284,6,176266,3854,2509,449,3,2,5,3
1,Education,2.7,5000,0,260,6,24526,328,81,35,,3,2,3
1,Books & Reference,2.6,1000,51,1442,9,119700,1618,549,198,2,1,5,6
1,Puzzle,2.9,1000,92,554,5098,48608,868,236,94,1,1,2,5
1,Education,2.3,1000,51,402,12,47276,792,537,177,3,,2,4
1,Media & Video,2.6,50000,51,1502,12,175560,2421,1131,345,,2,2,9
1,News & Magazines,2,1000,51,85,6,9573,119,13,5,,,2,4
1,Productivity,2.4,1000,51,188,3357,16495,216,69,28,1,,2,9
1,Travel & Local,2.9,5000,50,614,3,44171,894,363,134,3,,2,4
1,News & Magazines,2.3,100000,51,1792,12,201445,2545,1189,383,1,1,4,5
1,Puzzle,2.5,10000,100,2377,9,237923,3245,1319,483,1,2,2,6
1,Tools,1.8,10000,50,829,9,71394,1547,724,162,5,,3,26
1,Tools,1.4,10000,50,1030,16,125900,1562,522,179,5,4,2,6
1,Sports,2,5000,51,62,5095,6225,59,0,0,,,2,2
1,Communication,1.8,1000,50,146,12,10707,215,67,22,4,3,2,1
1,Tools,2.7,1000,50,319,6,23141,310,53,23,,3,3,15
1,Entertainment,2.8,1000,50,114,9,12007,146,19,8,1,4,3,18
1,Books & Reference,2.7,1000,95,844,9,116335,1619,744,209,7,2,2,10
1,Travel & Local,2.9,1000,51,493,9,50903,788,355,132,1,3,2,3
1,Productivity,2.9,5000,50,1667,21,175441,3451,1969,601,5,,2,24
1,Sports,2.9,50000,92,552,6,71235,705,280,116,,1,2,1
1,Card,2.3,1000,51,822,9,76389,1003,300,114,,4,2,7
1,Tools,2,1000,51,446,9,50390,866,408,157,1,1,2,10
1,Medical,2.9,1000,50,103,9,12537,172,31,13,7,1,2,4
1,Educational,2.7,1000,92,273,5104,28813,440,104,49,,10,2,3
1,Productivity,2.9,10000,51,1744,15,194638,2968,1148,439,1,4,6,5
1,Arcade,2.6,10000,0,147,6,10220,129,13,6,2,1,2,11
1,Personalization,2.7,5000,92,943,12,121199,1629,966,257,1,2,2,6
1,Entertainment,2.8,5000,51,1266,15,281267,3650,1684,399,,10,2,2
1,Sports,2.3,5000,50,58,6,8939,64,15,7,2,,2,5
1,Social,2.3,5000,51,138,3,15318,289,77,35,2,1,4,19
1,Shopping,2.7,5000,50,1410,18,138849,1877,732,269,2,6,3,13
1,Lifestyle,2.9,1000,51,684,9,63737,852,351,146,2,3,2,2
1,Business,2.6,1000,51,215,6,22833,283,96,40,,,2,1
1,Tools,2.8,5000,51,22,3,1842,12,12,5,,,5,1
1,Shopping,2.2,1000,51,57,3,6447,101,26,13,,,2,1
1,Education,2.3,1000,92,242,9,23674,417,101,47,,9,2,8
1,Casual,2.7,1000,51,70,5111,6431,63,4,2,,,2,11
1,Entertainment,2.9,1000,92,627,9,82588,848,320,131,,2,2,10
1,Puzzle,2.1,1000,0,345,6,30752,458,220,91,1,3,2,3
1,Music & Audio,2.9,1000,92,1694,5123,172785,2535,1358,348,3,2,5,1
1,Music & Audio,2.7,1000,51,17,3,1497,5,0,0,,1,2,6
1,Communication,2.7,5000,51,31,3,4712,52,26,7,4,,2,1
1,Lifestyle,2.4,5000,92,676,14,101790,812,276,110,,1,2,12
1,Sports,2.7,1000,51,235,6,21342,448,208,88,,5,2,13
1,Education,2.7,10000,51,238,15,22295,190,83,34,3,,2,4
1,Business,2.6,5000,51,243,6,22691,380,157,66,,,3,3
1,Media & Video,2.8,1000,88,856,5105,80807,1141,467,136,6,,2,1
1,Lifestyle,2.8,1000,100,5165,15,523427,6772,4788,673,2,1,8,8
1,Sports,2.4,1000,0,59,6,5184,155,50,22,1,9,3,3
1,Sports,2.2,5000,50,718,6,75209,1049,585,249,1,1,2,4
1,News & Magazines,2.8,1000,92,575,6,74777,707,268,114,,1,2,2
1,Business,2.9,1000,51,233,3660,28039,385,101,47,1,5,2,8
1,Casual,2.9,10000,0,97,6,9100,110,20,7,,8,2,4
1,Education,2.5,5000,0,280,9,26208,495,210,94,,6,2,3
1,Books & Reference,2.9,10000,51,123,6,11940,149,23,9,,2,2,4
1,Entertainment,2.9,1000,51,118,3,6997,118,16,7,1,1,3,5
1,Transportation,2.2,1000,50,269,9,40532,469,188,58,1,1,4,1
1,Business,2.8,1000,50,1239,12,113374,2000,792,283,3,1,2,11
