Files,LevenDistance
kraw_try1.sumprod1a()-kraw_try1.sumprod3e(),10.0
kraw_try1.sumprod1a()-kraw_try1.type1b_krawitz(),39.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3d(),6.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4c(),10.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4b(),0.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3b(),2.0
kraw_try1.sumprod1b()-kraw_try1.sumprod1c(),0.0
kraw_try1.sumprod1b()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprodo(),1.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3c(),10.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2a(),2.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3a(),5.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2d(),3.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4a(),1.0
kraw_try1.sumprod1b()-kraw_try1.type1a_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2b(),2.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4d(),22.0
kraw_try1.sumprod1b()-kraw_try1.type3a_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3e(),10.0
kraw_try1.sumprod1b()-kraw_try1.type1b_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3d(),6.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4c(),10.0
kraw_try1.sumprod1b()-kraw_try1.sumprod1a(),0.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3b(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod1c(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type2a_krawitz(),11.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprodo(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2c(),34.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3c(),36.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3a(),38.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2d(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod4a(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type1a_krawitz(),1.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2b(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type3a_krawitz(),11.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3e(),37.0
kraw_try1.type2b_krawitz()-kraw_try1.type1b_krawitz(),1.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod4c(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type3b_krawitz(),26.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod1a(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod1b(),39.0
