Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,JLINT_LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Productivity,4.1,10000,131,9,0.0011756,169,39,18,0,1,2,8,29794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Casino,4.4,5000000,5681,18,0.0024562,9704,5213,1211,0,7,5,0,49528,1,1,1,1,0,0,0,0,0,0,2,4,0,1,0,4,0,0,1,0,92
2,Arcade,4.2,1000,2346,19,0.0026815,4422,2623,573,0,4,2,9,28423,1,0,1,1,0,0,0,0,0,0,3,3,0,2,0,8,0,0,0,2,50
2,Tools,4,1000,10,3,0,7,2,1,0,0,1,0,58039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tools,3.2,50000,5478,1642983,0.0034865,8200,4062,765,8,0,9,24,10155,1,0,1,1,0,0,0,0,0,0,4,3,0,1,1,7,0,0,0,0,50
2,Arcade,3.8,100000,82,6,0.007948,94,18,6,0,6,2,17,17810,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,Card,4.2,10000000,2550,135062,0.0045287,2607,694,235,0,1,5,3,18643,0,0,1,1,0,0,0,0,0,0,4,4,0,1,0,6,0,0,0,2,50
2,Tools,3.8,10000,19,6,0,48,26,10,1,0,2,0,56086,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,0,0,0,1,51.11111111
2,Communication,4.2,5000000,5201,18,0.0019562,9894,6526,1177,0,4,2,0,133613,1,1,1,1,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,92
2,Sports,4.5,50000,2980,45,0.0014208,6149,4525,723,1,2,2,9,27843,0,1,1,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,0,0,92
